,SP.ADO.TFRT,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,SH.STA.BRTC.ZS,EN.ATM.CO2E.PC,SP.DYN.CONU.ZS,FS.AST.DOMS.GD.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,NE.EXP.GNFS.ZS,DT.DOD.DECT.CD,SP.DYN.TFRT.IN,BX.KLT.DINV.CD.WD,AG.LND.FRST.K2,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NE.GDI.TOTL.ZS,TX.VAL.TECH.MF.ZS,SH.IMM.MEAS,NE.IMP.GNFS.ZS,SI.DST.FRST.20,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,TG.VAL.TOTL.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,SH.DYN.MORT,TT.PRI.MRCH.XD.WD,SM.POP.NETM,DT.ODA.ALLD.CD,BX.TRF.PWKR.CD.DT,EN.POP.DNST,SP.POP.GROW,SP.POP.TOTL,SI.POV.DDAY,SI.POV.NAHC,SH.DYN.AIDS.ZS,SH.STA.MALN.ZS,SE.PRM.CMPT.ZS,GC.REV.XGRT.GD.ZS,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,SE.SEC.ENRR,IQ.SCI.OVRL,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,ER.PTD.TOTL.ZS,IC.REG.DURS,DT.TDS.DECT.EX.ZS,SP.URB.GROW,SP.DYN.LE00.IN
Afghanistan - 2013 [YR2013],106.537,22.8106627361766,43.0159066808059,,0.189816756865598,,,,,,2587774666.5,5.696,48311346,12084.4,20564485419.1684,5.60074465808154,680,2070,21470121710.8051,65266760469.3186,,,57,,,20.4446053132561,4.82278547931649,44.1003011509671,1.07694976762403,53.28634042,76.8,144.1723377,48076,5152540039.0625,347165291.814146,48.3590282569032,3.46678830410982,31541209,,,0.1,24.6,,9.40560933162746,104.498428344727,0.655330002307892,53.5751304626465,53.3333333333333,652860,7.12277329020889,,6.5,1.58322814481364,4.34455335199728,Class 60.0-64.0
Africa Eastern and Southern - 2013 [YR2013],108.0928240714,11.602275074593,4.54311753086277,,0.995679527903089,,,691.95850673273,719.006175859201,28.9854389268087,,4.80882146896218,21534249243.819,4703021.74,982677082467.187,4.22940819721221,1710.5820512195,3202.23971004763,971425648408.389,1818525913138.4,23.8385114300165,5.27368668579752,75.8341394865054,33.6547777644269,,27.7081811329275,5.64820692428826,53.4189695818994,1.77492701029424,57.6880768277277,75.4426897327386,,-92842,29207570093.1549,9473592326.1259,38.2544165002413,2.78015724354725,567891875,,,5.29004206132853,,67.6544494628906,24.4989928986343,103.004730224609,0.926739990711212,42.1875991821289,,15162048.412,18.2203405539471,,33.12,,4.1356112521479,Class 60.0-64.0
Africa Western and Central - 2013 [YR2013],125.084478041749,20.1353397268317,1.59367737387012,,0.499201619666905,,,178.422404275738,612.821698151492,23.5904002685225,,5.50634979270689,19157553412.434,1846256.64,832216894624.603,6.1087579516246,1923.71192471764,3704.37845302159,744870015911.065,1434352203045.06,18.9468385991915,4.12576652945561,59.7986545424888,21.7632150488918,,28.2189324143068,1.57313536817723,39.2132149813187,0.819636079250068,75.0120031475166,113.664250457502,,-377305,14105610011.1008,28076823908.16,42.8049933781277,2.76183897675104,387204553,,,1.80276753611687,,68.3475723266602,,94.9591598510742,0.9096599817276,47.9939498901367,,9166270,,,29.3318181818182,,4.26573064522988,Class 55.0-59.0
Albania - 2013 [YR2013],20.865,19.5651578123229,4.08795539033457,,1.53217928825751,,72.1806633606422,2533.25282927106,801.329975005976,28.9163151372576,8647046116.3,1.697,1254150555.51294,7863.405,12776220507.0162,1.00201754071108,4540,10750,13156889860.0243,31131666723.0893,28.0524964575465,0.890238022251303,99,46.9573987095321,,23.0613168520051,0.288745964127756,56.8164896341107,1.40898210141146,127.67458,10.5,94.79366181,-16845,269980010.986328,1281848113.75308,105.660291970803,-0.183211384606402,2895092,,,0.1,,89.539176940918,22.3049495093896,99.9839096069336,0.98158997297287,96.2560806274414,68.8888888888889,28750,16.5032706123389,,5,13.5183701951822,1.74363937043308,Class 75.0-79.0
Algeria - 2013 [YR2013],12.684,9.85111712761217,72.7719984591447,96.6,3.65848973119548,57.1,,1283.61043315444,1252.07479476785,33.2098978857357,5245606715.5,2.957,1691886707.50796,19408,209755003250.664,2.8,5540,12850,210381799170.566,488124391408.29,43.4111614791014,0.569126987791947,95,30.4009257853789,,43.9040999658876,-0.0933043780076446,57.2105542848929,4.84450891704059,103.9905106,26.1,283.1411813,-35412,203419998.168945,209601443.444637,15.9549850109584,1.9667158178046,38000626,,,0.1,,106.031677246094,,119.539321899414,,,51.1111111111111,2381740,,,22,0.744447016382687,2.92129941666144,Class 70.0-74.0
Angola - 2013 [YR2013],153.345,6.50749231982044,0.476824324324324,,1.03104746004915,,,278.808254957872,531.08226327439,50.7470857909554,44350760779.1,5.953,-7120017424.4614,704928.14,133401582620.494,4.9499999975523,4650,7090,121552060982.639,185392118906.055,26.1429704757952,,59,36.0648469678372,,53.3628521772331,2.84424440365498,70.8972098697355,4.45523942155109,50.80964158,98.3,251.678381,91528,285540008.544922,36637411.3401682,20.9729702414374,3.73552542857565,26147002,,,1.9,,,35.7058626128495,,,,47.7777777777778,1246700,14.184762657139,,66,8.33792524670794,4.92641852853657,Class 55.0-59.0
Antigua and Barbuda - 2013 [YR2013],33.761,2.01729829368227,8.46153846153846,100,5.35046385753189,,,,,80.5916154374261,,1.537,134288999.62963,85.82,1181448148.14815,-0.600876396735046,13040,18800,1154411974.86136,1663882354.66843,23.7310770523306,,96,75.6196883297648,,15.6822606280428,-0.946544450222504,48.4151590483744,,129.2224595,8.6,73.54021607,156,1590000.0333786,21127350.7407408,201.129545454545,0.934326293295174,88497,,,,,108.108108520508,,106.056823730469,,,55.5555555555556,440,,,22,,0.240996233925256,Class 75.0-79.0
Arab World - 2013 [YR2013],54.3350269455225,5.00040279146084,,,4.37877696657111,,,2369.43790705928,1759.61056735794,53.0989132875468,,3.51351815655565,41259115295.2229,384888.52,2843529425181.9,2.58579735827979,7270.98178224833,15695.3691554377,2829368447302.96,6107563405754.5,24.3197830100844,1.8236143452159,85.1679631348875,37.5092536069695,,52.5796020098813,1.52972453562325,80.8249506349527,5.78226907264955,104.741398824987,40.57842919506,,340149,22498559654.2358,47228856824.5072,29.7032499712419,2.29982349808486,389131555,,,0.118518760333505,,85.0606079101563,,96.3726806640625,0.935810029506683,69.1917877197266,,13166340.9,,,20.6095238095238,,2.86427087845205,Class 70.0-74.0
Argentina - 2013 [YR2013],69.167,6.05291843670451,12.9075342465753,97,4.34212454655109,72.4,33.1873915714789,2967.37655805218,1967.02167752077,14.6171733884386,150225027402.1,2.322,9821661858.15874,295438,552025140252.246,2.40532378079436,12870,19700,543285805981.272,831394119044.485,17.3057789012596,7.45807793886144,94,14.7167556136651,5,24.0058814423072,23.9487984162746,27.2460417167365,0.837736430159436,158.9154655,12.7,156.4980784,5369,34729999.5422363,535004409.367289,15.421160233713,1.11910919999772,42202935,0.6,,0.4,,101.645011901855,21.5652829643596,112.011947631836,1.03136003017426,105.041412353516,76.6666666666667,2780400,12.4529027558077,,24.5,17.1374562078243,1.25948243003778,Class 75.0-79.0
Armenia - 2013 [YR2013],25.412,18.4347628834968,43.0820819361423,100,1.896163384039,,43.1497137322292,1928.7340356416,999.64706510856,28.3534851384818,8681090391.3,1.6,346092394.393256,3299.36,11121465767.4067,3.3,4110,10430,11911914318.3941,30249264888.7339,22.1524900726313,3.02784829241324,97,49.2015630214006,8.6,26.7090481417071,3.36682464224465,53.563083541182,3.99724455730484,115.3337511,15.9,113.7016965,-28257,280359985.351563,2192193826.94676,101.910256410256,-0.44829630947071,2901385,1.7,,,,,24.1168167453311,98.449462890625,1.02907001972198,85.8975524902344,88.8888888888889,29740,21.5862138752919,,5,46.3472758098627,-0.568544597024387,Class 70.0-74.0
